1,1,Smartphone X12,Next-gen smartphone with an edge-to-edge OLED display,"https://m.media-amazon.com/images/I/614pn1oYPCL.jpg"
2,2,Laptop Pro 15,High-performance laptop with exceptional graphics,"https://m.media-amazon.com/images/I/611DiOFTVfL.jpg"
3,1,Wireless Earbuds,True wireless earbuds with active noise cancellation,"https://m.media-amazon.com/images/I/61YNwmfTUOL._AC_UF894,1000_QL80_.jpg"
4,3,Portable Charger 10k,Compact power bank with fast-charging capability,"https://m.media-amazon.com/images/I/51aX6Nv7rAL.jpg"
5,2,Smart Watch 4th Gen,Advanced smartwatch with ECG and 5-day battery life,"https://m.media-amazon.com/images/I/61Q79ulDs6L._AC_UF1000,1000_QL80_.jpg"
6,1,Gaming Mouse Plus,Ergonomic gaming mouse with customizable RGB lighting,"https://m.media-amazon.com/images/I/61AcT0ZuO3L.jpg"
7,3,Bluetooth Speaker Mini,Portable speaker with 360-degree sound and IP67 rating,"https://m.media-amazon.com/images/I/91eY5tY-pGS._AC_UF894,1000_QL80_.jpg"
8,2,4K Action Camera,Waterproof action camera with 4K video recording,"https://m.media-amazon.com/images/I/71gtKUViyOL._AC_UF1000,1000_QL80_.jpg"
9,1,USB-C Hub 6-in-1,Versatile USB-C hub with multiple ports and 4K HDMI,"https://m.media-amazon.com/images/I/61x-ngKuW3L._AC_UF894,1000_QL80_.jpg"
10,3,Fitness Tracker Max,All-day fitness tracker with heart rate and sleep monitoring,"https://m.media-amazon.com/images/I/51xT9lbPAmL._AC_UF1000,1000_QL80_.jpg"
